LONG	LAT	SES.SIZE.DISPARITY	SES.SHAPE.VENTRAL
-67.28	-38.87	-0.050507107	-1.614647342
-66.28	-38.87	-0.30975999	-1.459632596
-65.28	-38.87	-0.444192333	-1.963929101
-64.28	-38.87	-0.120753041	-1.518495332
-63.28	-38.87	-0.134365832	-0.633284297
-62.28	-38.87	-0.161075585	-0.834347924
-61.28	-38.87	-0.064874422	-0.445790136
-60.28	-38.87	0.000497972	0.063744879
-73.28	-37.87	-0.787027017	-1.034578718
-72.28	-37.87	-0.824370136	-1.407650549
-71.28	-37.87	-0.768263902	-1.290567945
-70.28	-37.87	-0.902005665	-1.383106138
-69.28	-37.87	-0.633320199	-1.56927779
-68.28	-37.87	-0.520596137	-1.837856994
-67.28	-37.87	-0.158161842	-1.425444341
-66.28	-37.87	-0.110319575	-1.021982642
-65.28	-37.87	-0.27928763	-1.813944334
-64.28	-37.87	-0.348386058	-1.946671633
-63.28	-37.87	-0.298535637	-1.112390035
-62.28	-37.87	-0.045212712	-0.776776589
-61.28	-37.87	-0.122017987	-0.494369196
-60.28	-37.87	-0.154283365	0.094451113
-59.28	-37.87	-0.055863384	-0.042216085
-58.28	-37.87	0.010985937	-0.175413443
-72.28	-36.87	-0.899964908	-1.203628535
-71.28	-36.87	-0.935040215	-0.943588462
-70.28	-36.87	-0.712146687	-1.271553448
-69.28	-36.87	-0.64092722	-1.747110428
-68.28	-36.87	-0.528586281	-1.653706926
-67.28	-36.87	-0.187973122	-1.478864398
-66.28	-36.87	-0.115898699	-1.475073465
-65.28	-36.87	-0.159318816	-1.856543951
-64.28	-36.87	-0.149249675	-1.094936617
-63.28	-36.87	-0.179403703	-1.095708345
-62.28	-36.87	-0.117439818	-0.384444182
-61.28	-36.87	0.008009363	-0.239648923
-60.28	-36.87	0.60139889	0.015461784
-59.28	-36.87	0.0454319	0.066865235
-58.28	-36.87	-0.147149214	-0.075946173
-57.28	-36.87	0.376654539	0.198081649
-72.28	-35.87	-1.042221167	-1.211920582
-71.28	-35.87	-0.997084003	-1.60202733
-70.28	-35.87	-0.806680321	-1.7903236
-69.28	-35.87	-0.708184383	-2.212163554
-68.28	-35.87	-0.69296493	-1.882060718
-67.28	-35.87	-0.282540224	-1.920514657
-66.28	-35.87	-0.112415181	-1.352936897
-65.28	-35.87	-0.084846461	-1.507865317
-64.28	-35.87	-0.08634521	-0.573946037
-63.28	-35.87	-0.081103343	-0.625555199
-62.28	-35.87	0.1481286	0.353239059
-61.28	-35.87	0.244179403	0.161688272
-60.28	-35.87	0.031007023	0.028930326
-59.28	-35.87	0.089822112	0.018861892
